i,j,alpha,delta,gamma
18,43,0.019,0.006,72.3
18,44,0.0844,-0.0171,-66.69
18,45,-0.0185,-0.0085,-90.43
18,46,-0.004,-0.0126,33.45
18,47,0.0066,0.0078,45.54
18,48,0.0231,-0.0025,158.48
18,49,0.012,-0.0203,-60.17
18,50,-0.0472,0.0022,1.47
19,20,-0.0241,0.0181,58.43
19,21,0.0118,-0.0113,-49.94
19,22,-0.0089,-0.0003,-109.94
19,23,-0.0154,-0.0019,4.94
19,24,-0.0325,-0.0054,-10.61
19,25,0.0036,0.006,64.85
19,26,-0.0118,-0.0046,26.26
19,27,0.0244,-0.0043,47.42
19,28,0.0392,0.0129,106.7
19,29,-0.0347,0.0001,0.68
19,30,-0.0039,-0.0065,-89.13
19,31,0.0037,-0.0077,5.16
19,32,-0.0318,-0.011,14.06
19,33,0.006,0.0058,131.15
19,34,0.0111,0.0049,-64.65
19,35,-0.0515,0.0158,-55.41
19,36,-0.0418,-0.0004,-5.41
19,37,-0.0361,-0.003,73.76
19,38,-0.0322,-0.0139,56.56
19,39,0.0148,-0.0062,-125.75
19,40,-0.0223,-0.0005,66.6
19,41,-0.0311,-0.0008,32.26
19,42,-0.0714,0.0103,-97.77
19,43,0.01,0.0025,60.92
19,44,0.0165,-0.0238,-69.93
19,45,0.0041,-0.0019,18.43
19,46,0.0287,0.0093,-5.0
19,47,-0.0504,-0.0035,39.15
19,48,-0.0277,0.0096,73.59
19,49,0.0088,-0.0348,-79.47
19,50,0.0616,-0.0046,-128.89
20,21,0.0271,-0.0019,97.35
20,22,-0.0017,0.0026,45.41
20,23,0.0109,0.0208,87.97
20,24,-0.0632,0.0045,68.49
20,25,0.0481,-0.0043,69.9
20,26,0.0371,0.0257,-45.0
20,27,-0.0203,-0.0031,-29.41
20,28,-0.0356,-0.0276,-26.08
20,29,0.0148,-0.0049,116.12
20,30,0.0005,0.0129,15.69
20,31,0.0331,0.0028,82.13
20,32,0.0022,0.005,21.98
20,33,-0.0115,0.004,134.06
20,34,-0.0108,0.0042,75.47
20,35,0.0456,0.0001,-143.0
20,36,0.0207,-0.0222,88.2
20,37,0.0068,0.01,-54.13
20,38,-0.0621,0.0026,-2.02
20,39,-0.0147,0.0008,178.72
20,40,0.025,0.0105,44.08
20,41,0.0444,-0.0019,-158.83
20,42,-0.0057,0.0081,-82.89
20,43,-0.0053,-0.0069,90.14
20,44,0.0225,0.0065,28.51
20,45,-0.0011,0.002,-97.96
20,46,-0.0606,0.0038,32.68
20,47,0.0413,0.0209,119.9
20,48,-0.0249,-0.0022,43.62
20,49,0.081,0.0198,88.36
20,50,-0.0066,-0.0086,65.22
21,22,-0.043,-0.0044,11.97
21,23,0.0378,-0.0055,-150.75
21,24,0.0202,-0.007,2.56
21,25,-0.0035,-0.0027,47.42
21,26,-0.0613,-0.0052,41.04
21,27,-0.0246,-0.0161,40.11
21,28,0.0449,-0.0004,-117.65
21,29,0.0282,-0.0166,18.53
21,30,-0.0355,-0.0116,-26.51
21,31,-0.0073,-0.0064,35.32
21,32,-0.0178,0.0098,16.87
21,33,-0.0279,-0.0087,-98.85
21,34,0.0116,-0.0035,-142.33
21,35,-0.0214,-0.009,94.54
21,36,-0.0681,-0.0144,66.6
21,37,0.0543,-0.0074,-37.93
21,38,0.0246,-0.0233,-111.67
21,39,-0.0084,0.0155,-45.5
21,40,0.003,0.0113,132.48
21,41,-0.0173,-0.0002,112.54
21,42,-0.0457,0.0103,-86.28
21,43,0.0031,-0.0024,-82.06
21,44,-0.0295,0.0028,54.69
21,45,-0.0039,0.0007,24.98
21,46,-0.0241,0.0109,67.35
21,47,0.0831,-0.0025,-22.07
21,48,0.0281,0.0118,-27.46
21,49,-0.0071,0.0085,-47.93
21,50,-0.0073,0.0031,79.72
22,23,-0.0281,-0.0204,-114.16
22,24,-0.0504,-0.0131,-9.28
22,25,-0.0476,-0.007,-46.45
22,26,-0.0176,0.0132,39.72
22,27,0.0006,-0.0046,-25.99
22,28,0.0131,0.0058,-54.46
22,29,0.0015,-0.0203,12.7
22,30,0.0305,-0.0028,108.99
22,31,-0.0352,0.0022,-2.15
22,32,-0.004,-0.0011,6.43
22,33,0.0339,0.0138,-0.14
22,34,0.0326,-0.007,45.96
22,35,-0.0305,0.0109,132.64
22,36,-0.0049,-0.0219,-32.88
22,37,0.0493,0.0055,14.93
22,38,0.0403,0.0048,73.06
22,39,0.0276,0.0152,10.12
22,40,0.0272,-0.0031,-57.1
22,41,0.0512,0.0022,41.34
22,42,0.0037,-0.0059,-14.23
22,43,0.0431,0.0056,-134.8
22,44,-0.0065,0.0178,-29.97
22,45,-0.054,0.0189,32.77
22,46,0.0029,-0.0025,85.76
22,47,-0.0113,0.0158,47.95
22,48,0.0123,0.0037,-2.25
22,49,0.0364,-0.0084,-103.53
22,50,0.0234,0.0096,43.62
23,24,0.0163,-0.0032,47.25
23,25,-0.0018,-0.0049,-18.71
23,26,0.0808,-0.0173,29.99
23,27,-0.0672,-0.0011,-26.02
23,28,-0.0834,0.0039,-22.8
23,29,-0.084,0.0084,86.1
23,30,0.0596,0.0036,2.76
23,31,0.0531,0.0168,68.01
23,32,-0.0377,0.002,26.37
23,33,-0.0724,0.0047,136.38
23,34,0.0256,0.0147,10.97
23,35,-0.0029,0.0038,-48.95
23,36,-0.0386,0.0127,82.34
23,37,-0.0396,0.0097,-5.22
23,38,0.0136,0.0046,59.66
23,39,0.0025,0.0141,6.66
23,40,0.0187,-0.0083,136.11
23,41,0.0141,0.0071,-127.57
23,42,-0.0247,0.0124,5.08
23,43,-0.0574,0.0104,-53.06
23,44,0.0423,-0.0009,-0.67
23,45,0.0354,-0.009,-84.5
23,46,-0.0009,0.0119,-83.16
23,47,-0.045,0.0119,-32.21
23,48,-0.0068,-0.0203,-37.53
23,49,0.0048,0.0132,-43.99
23,50,0.0547,-0.0062,-37.82
24,25,0.0361,0.0001,-18.64
24,26,-0.0147,0.0115,122.63
24,27,-0.0345,-0.0024,26.31
24,28,-0.0396,-0.0026,20.37
24,29,0.0242,0.0101,-3.04
24,30,-0.0164,0.0046,-20.96
24,31,0.0077,-0.0029,-47.86
24,32,-0.0387,0.0125,9.05
24,33,0.0392,-0.0071,40.38
24,34,0.0618,-0.0126,-112.85
24,35,0.0286,-0.0103,18.55
24,36,-0.0276,0.0007,-46.54
24,37,-0.0154,0.0025,-50.58
24,38,-0.031,-0.0055,-80.02
24,39,-0.0127,0.0014,-17.97
24,40,-0.0081,-0.0002,-35.9
24,41,0.0207,0.0172,-22.51
24,42,0.0146,-0.0029,35.58
24,43,0.047,0.0061,-114.14
24,44,0.0136,0.0148,-5.51
24,45,0.0299,-0.0083,-93.99
24,46,0.0092,-0.0171,-6.78
24,47,0.0436,-0.0189,-79.56
24,48,-0.026,0.0032,-15.6
24,49,0.047,0.0155,44.67
24,50,0.0094,0.0087,-50.34
25,26,0.0157,-0.0131,78.48
25,27,0.0256,0.0001,7.67
25,28,0.002,-0.03,41.16
25,29,-0.0134,-0.0025,69.46
25,30,-0.0122,-0.0134,10.1
25,31,-0.008,-0.0009,31.33
25,32,0.0212,-0.0129,32.3
25,33,0.0287,-0.0193,32.58
25,34,-0.0276,-0.0057,-43.34
25,35,-0.0151,0.0164,-68.51
25,36,-0.0451,-0.015,140.92
25,37,-0.0239,-0.0023,-8.19
25,38,-0.0383,-0.0044,180.0
25,39,0.0418,-0.0102,55.33
25,40,-0.0249,-0.0213,81.37
25,41,0.0348,0.0126,-22.89
25,42,-0.005,0.009,37.4
25,43,-0.0118,-0.0194,17.97
25,44,0.0324,-0.0144,54.71
25,45,0.0099,0.009,71.04
25,46,-0.0158,-0.0154,-27.35
25,47,0.0317,-0.0025,-38.58
25,48,-0.0496,0.025,67.8
25,49,0.0281,0.0156,50.37
25,50,-0.0023,0.002,-19.93
26,27,0.069,0.0036,-12.47
26,28,0.004,-0.0121,125.32
26,29,-0.0298,0.003,94.62
26,30,0.0015,-0.0011,20.76
26,31,-0.0117,-0.0078,-11.46
26,32,0.0344,-0.0031,-35.01
26,33,-0.0255,0.009,67.29
26,34,0.0068,-0.0046,60.14
26,35,-0.0293,-0.0046,87.89
26,36,0.0162,-0.0118,-39.89
26,37,-0.0067,0.0153,-114.09
26,38,-0.0017,-0.0158,-24.4
26,39,-0.0109,-0.005,-27.37
26,40,0.0002,-0.0064,-92.37
26,41,0.0234,0.009,69.02
26,42,-0.0462,0.0036,57.32
26,43,-0.0309,0.0001,1.86
26,44,0.0553,0.0231,-106.5
26,45,0.0748,-0.011,78.65
26,46,0.0341,-0.0079,44.53
26,47,0.0018,0.0107,26.15
26,48,0.0409,0.0049,-1.75
26,49,0.0379,0.011,61.23
26,50,-0.0149,-0.0085,-29.74
27,28,-0.0286,0.0059,88.32
27,29,-0.0147,0.0123,115.79
27,30,-0.0027,-0.0102,130.28
27,31,-0.0118,-0.0007,-3.77
27,32,-0.0367,-0.0167,64.3
27,33,-0.0335,0.0286,-56.03
27,34,-0.0477,0.0031,127.05
27,35,-0.0081,0.0037,-109.05
27,36,-0.0303,-0.0127,-112.65
27,37,-0.0065,-0.0244,-72.55
27,38,-0.0261,-0.0103,47.75
27,39,0.0092,0.0107,62.67
27,40,0.0342,-0.0,31.24
27,41,0.0153,0.0017,-17.8
27,42,-0.01,-0.0098,39.51
27,43,-0.0028,-0.008,-36.36
27,44,-0.0363,0.0117,15.5
27,45,-0.0259,0.0097,-29.23
27,46,-0.0372,0.0163,-27.6
27,47,-0.0073,0.0045,89.98
27,48,0.0056,-0.0104,48.07
27,49,-0.0095,0.0267,9.92
27,50,-0.0621,0.0083,146.12
28,29,0.0373,0.0163,-51.38
28,30,0.0174,-0.0092,35.7
28,31,-0.0482,-0.0084,-27.34
28,32,0.017,0.006,39.38
28,33,-0.0505,-0.0051,-32.23
28,34,0.0161,0.0098,93.95
28,35,-0.0327,-0.0294,-103.69
28,36,0.0326,-0.006,-32.55
28,37,0.0393,0.0107,21.71
28,38,-0.0188,-0.0033,35.9
28,39,0.048,0.0051,60.82
28,40,0.0351,-0.014,62.84
28,41,-0.0088,-0.0302,-138.97
28,42,-0.0305,0.0064,17.97
28,43,0.0055,0.0234,-78.84
28,44,-0.0008,0.0037,-41.54
28,45,0.0008,-0.0192,108.69
28,46,-0.0154,0.0284,7.73
28,47,0.0358,0.0034,7.85
28,48,-0.0125,0.0054,32.26
28,49,-0.0185,0.0025,-32.71
28,50,0.074,0.0029,118.17
29,30,-0.0159,0.0006,-72.5
29,31,-0.0234,0.0001,131.02
29,32,-0.0033,0.0118,64.85
29,33,0.0388,-0.0026,180.0
29,34,-0.0246,-0.0097,-64.7
29,35,0.0599,0.0062,-3.39
29,36,0.0275,0.0049,157.63
29,37,-0.0564,-0.0047,-12.38
29,38,-0.0692,0.0086,1.07
29,39,0.0222,0.0283,-14.73
29,40,-0.0126,0.0014,79.11
29,41,-0.017,-0.0076,84.0
29,42,0.0114,-0.0245,-75.78
29,43,0.045,0.0048,-43.35
29,44,-0.0051,0.0002,61.5
29,45,-0.0407,-0.0101,29.11
29,46,0.002,0.0109,-76.07
29,47,0.0157,0.0171,44.08
29,48,0.0092,0.0028,-48.44
29,49,0.0028,0.0191,1.67
29,50,-0.0217,-0.0019,24.06
30,31,-0.0212,0.0029,56.6
30,32,0.0167,0.0122,89.71
30,33,-0.038,-0.011,14.7
30,34,-0.0235,-0.0134,-10.92
30,35,-0.0242,-0.0087,-2.11
30,36,0.0254,-0.0,180.0
30,37,-0.0049,-0.0049,20.29
30,38,-0.0023,0.0024,165.37
30,39,-0.0254,0.0103,24.54
30,40,-0.0471,0.0092,98.73
30,41,-0.0257,-0.0001,-110.77
30,42,-0.0378,0.0126,-22.65
30,43,-0.0333,0.0028,-26.57
30,44,-0.0141,0.0089,-71.32
30,45,-0.0272,0.0018,77.86
30,46,0.0421,-0.004,75.62
30,47,-0.0185,0.0259,-69.36
30,48,0.0449,-0.0039,150.93
30,49,0.0227,-0.0082,-26.56
30,50,0.0284,0.0166,5.05
31,32,-0.0087,0.0056,29.23
31,33,-0.0488,-0.0101,36.46
31,34,0.0265,0.0142,74.57
31,35,-0.0014,0.0055,-26.67
31,36,-0.0146,-0.0102,-67.41
31,37,0.0,-0.0001,68.14
31,38,0.0064,0.0004,58.96
31,39,-0.0013,0.005,-40.83
31,40,0.0111,0.008,-36.88
31,41,0.0016,-0.0075,-26.86
31,42,-0.0337,0.0152,84.6
31,43,0.0161,0.0237,-3.25
31,44,0.091,-0.0027,27.86
31,45,-0.0119,0.0045,68.49
31,46,0.0016,0.0253,26.74
31,47,0.0131,-0.0069,39.29
31,48,0.001,-0.0033,-44.35
31,49,0.0852,0.0008,-91.99
31,50,-0.0159,0.0034,48.27
32,33,0.0066,0.0048,-25.14
32,34,0.0002,-0.0108,-23.38
32,35,-0.0375,-0.0139,94.49
32,36,0.0107,0.0078,22.75
32,37,0.0133,-0.0196,80.42
32,38,-0.0047,0.0043,46.6
32,39,-0.0296,-0.018,-39.84
32,40,0.0169,0.0083,-85.76
32,41,-0.0294,-0.0087,-15.01
32,42,-0.0409,-0.0171,-47.53
32,43,0.0026,-0.0142,1.89
32,44,0.0318,-0.0156,-4.45
32,45,0.0307,-0.005,-30.16
32,46,0.0399,0.0003,87.31
32,47,0.0179,-0.0001,43.58
32,48,0.0146,0.0163,-28.38
32,49,0.0062,0.0033,59.29
32,50,-0.0258,0.0162,42.64
33,34,-0.0495,0.0101,176.39
33,35,0.0201,0.0123,25.98
33,36,-0.0598,-0.0204,37.86
33,37,-0.0278,-0.0111,15.61
33,38,0.0085,-0.0165,-11.42
33,39,0.0453,-0.0129,70.88
33,40,-0.0145,0.0065,86.81
33,41,0.0222,0.0109,-70.61
33,42,0.0334,-0.0102,28.17
33,43,0.0077,0.0058,33.59
33,44,-0.0253,-0.0162,71.06
33,45,0.0056,0.0138,6.87
33,46,-0.0372,0.0156,-15.93
33,47,0.0153,-0.0038,125.1
33,48,-0.0213,-0.0,17.52
33,49,-0.0278,0.008,122.83
33,50,-0.0097,0.0087,-180.0
34,35,-0.0112,-0.0051,-37.29
34,36,0.0224,-0.0053,7.58
34,37,-0.0213,-0.0212,-59.24
34,38,0.0188,-0.0231,-33.64
34,39,-0.012,0.0209,63.8
34,40,-0.0167,0.0157,-41.84
34,41,0.0303,-0.0163,85.13
34,42,-0.0122,-0.0123,-5.2
34,43,0.0083,-0.0059,48.78
34,44,-0.0175,0.0074,40.96
34,45,-0.0018,-0.0053,20.61
34,46,0.0215,0.0287,75.76
34,47,0.0343,0.035,46.12
34,48,0.0195,0.0124,-60.63
34,49,-0.0083,-0.0021,55.33
34,50,-0.0002,0.0057,86.12
35,36,0.0159,-0.0036,-26.9
35,37,0.0241,0.0057,-92.44
35,38,-0.0194,-0.0003,74.52
35,39,0.0273,0.0034,50.97
35,40,0.0019,-0.0081,-8.29
35,41,0.0006,-0.0004,-121.99
35,42,-0.0119,0.0007,-9.7
35,43,-0.0074,0.0059,-65.53
35,44,-0.0488,-0.0042,63.49
35,45,0.0506,0.0094,-92.78
35,46,-0.002,0.0071,22.43
35,47,0.0212,-0.007,14.55
35,48,0.0176,0.0139,-46.4
35,49,-0.0054,-0.0284,-33.5
35,50,-0.0107,-0.0082,21.59
36,37,-0.0117,-0.0246,35.09
36,38,-0.0378,0.0029,-69.73
36,39,0.0009,-0.0034,31.22
36,40,0.0037,-0.0031,-97.54
36,41,-0.0443,-0.007,9.42
36,42,-0.0182,0.0075,-9.55
36,43,-0.029,-0.0033,25.81
36,44,0.0097,0.0225,-36.82
36,45,-0.0022,0.0051,8.36
36,46,-0.01,-0.0146,-25.76
36,47,-0.0272,-0.0167,-45.7
36,48,-0.0264,0.011,52.08
36,49,-0.0221,0.0009,-120.08
36,50,-0.0098,0.0088,67.75
37,38,-0.0314,0.0085,-86.1
37,39,-0.0374,0.0085,126.98
37,40,0.0148,-0.0005,-143.66
37,41,-0.0607,0.0016,-15.06
37,42,-0.0332,0.0008,18.06
37,43,0.0283,0.0016,95.99
37,44,0.0002,-0.0014,84.5
37,45,-0.0294,0.0338,36.27
37,46,0.0164,0.0103,141.4
37,47,0.0288,-0.0153,108.24
37,48,-0.0052,0.0053,-79.55
37,49,0.0208,-0.0038,17.01
37,50,-0.0035,0.0271,148.76
38,39,0.0014,0.0008,-16.14
38,40,0.0332,-0.0039,-19.49
38,41,0.0294,-0.0065,7.36
38,42,-0.0474,0.0085,145.86
38,43,0.0216,0.0175,-49.23
38,44,0.0071,-0.0113,-5.94
38,45,0.0232,0.0012,-88.88
38,46,-0.0345,-0.0126,44.4
38,47,0.0669,0.0203,-122.72
38,48,0.0476,0.0152,-98.17
38,49,-0.0041,0.0171,48.53
38,50,-0.0343,0.0113,-139.63
39,40,-0.0167,0.0094,21.29
39,41,-0.025,0.0069,88.23
39,42,0.0293,0.0067,95.7
39,43,0.012,0.0007,26.27
39,44,-0.0171,-0.0141,-46.87
39,45,-0.0185,0.0004,120.86
39,46,0.0135,0.014,65.55
39,47,0.0069,0.0091,-27.05
39,48,0.0613,0.0096,-93.33
39,49,0.0207,0.0218,-22.69
39,50,0.0307,0.0086,-82.56
40,41,0.0053,-0.0159,-23.79
40,42,0.0223,0.0016,-1.31
40,43,0.0034,-0.0026,20.88
40,44,0.0097,-0.0093,22.82
40,45,-0.0194,-0.0179,-44.43
40,46,0.0699,0.0066,-102.65
40,47,-0.0389,0.0007,99.28
40,48,0.0085,0.0177,14.64
40,49,0.0315,-0.014,55.63
40,50,0.0033,0.0124,-66.99
41,42,-0.0047,0.0015,9.22
41,43,0.0021,-0.0047,-25.43
41,44,0.0382,0.0085,-33.26
41,45,0.0071,-0.0094,-62.93
41,46,0.0512,-0.0184,54.88
41,47,0.0062,-0.0005,18.68
41,48,0.0353,-0.0079,40.24
41,49,0.019,-0.0131,-21.89
41,50,0.0633,0.0221,40.21
42,43,-0.0457,0.0029,79.56
42,44,0.0118,0.0058,45.43
42,45,-0.0122,-0.0081,-112.86
42,46,0.0269,0.0042,29.03
42,47,-0.0318,0.0097,133.82
42,48,0.0177,0.0013,11.63
42,49,0.0861,-0.0103,4.22
42,50,-0.013,-0.0046,-13.47
43,44,0.0304,0.016,51.37
43,45,-0.0213,0.0229,-9.93
43,46,-0.005,-0.0193,87.73
43,47,0.0489,0.031,-107.27
43,48,0.066,0.0028,46.43
43,49,-0.0427,0.0196,45.06
43,50,0.0136,0.0097,-63.58
44,45,-0.0274,-0.0066,-109.69
44,46,0.0452,0.0163,-59.09
44,47,0.0272,-0.0012,12.98
44,48,-0.007,-0.0086,63.65
44,49,0.0128,0.0263,-6.76
44,50,-0.0174,0.0167,34.16
45,46,0.0404,0.0163,-55.7
45,47,0.0105,-0.0001,-100.35
45,48,0.0058,0.018,6.61
45,49,-0.0321,-0.0167,106.53
45,50,0.0118,-0.0058,-29.18
46,47,-0.0543,0.0122,-7.51
46,48,0.031,-0.0015,120.07
46,49,-0.0023,0.0065,70.34
46,50,0.0087,0.0015,3.7
47,48,0.0475,-0.0111,20.3
47,49,-0.0096,0.002,-10.06
47,50,-0.0006,-0.0037,-90.74
48,49,-0.0097,-0.013,-101.41
48,50,-0.0059,0.0029,56.87
49,50,0.007,-0.0213,-75.27
